,year,housing_units,neighborhood,sale_price_sqr_foot,gross_rent
142,2012,376454,Lake --The Presidio,380.5214843069476,2324.0
143,2012,376454,Lone Mountain,545.9801982412763,2324.0
144,2012,376454,Lower Pacific Heights,396.171112391617,2324.0
145,2012,376454,Marina,445.2150955424525,2324.0
146,2012,376454,Merced Heights,421.1412447061912,2324.0
147,2012,376454,Midtown Terrace,397.9391288956355,2324.0
148,2012,376454,Miraloma Park,756.1923725098497,2324.0
149,2012,376454,Mission Bay,689.5233123659036,2324.0
150,2012,376454,Mission Dolores,320.9599230279341,2324.0
151,2012,376454,Nob Hill,307.78311439850694,2324.0
152,2012,376454,Noe Valley,428.0219127043747,2324.0
153,2012,376454,North Beach,517.1734931165627,2324.0
154,2012,376454,North Waterfront,390.3838567783597,2324.0
155,2012,376454,Oceanview,442.24265696115737,2324.0
156,2012,376454,Outer Mission,221.881138746669,2324.0
157,2012,376454,Outer Parkside,312.8339843623907,2324.0
158,2012,376454,Outer Richmond ,338.63301173022234,2324.0
159,2012,376454,Outer Sunset,413.05871935195154,2324.0
160,2012,376454,Pacific Heights,586.2182148097696,2324.0
161,2012,376454,Park North,288.0785187599688,2324.0
162,2012,376454,Parkside,378.27387843874783,2324.0
163,2012,376454,Parnassus/Ashbury Heights,515.9210732061051,2324.0
164,2012,376454,Portola,351.0432256921308,2324.0
165,2012,376454,Potrero Hill,466.6478402167172,2324.0
166,2012,376454,Presidio Heights,426.6085920717133,2324.0
167,2012,376454,Russian Hill,414.16272789686775,2324.0
168,2012,376454,South of Market,463.8098989043553,2324.0
169,2012,376454,Telegraph Hill,465.8021216317738,2324.0
170,2012,376454,Twin Peaks,304.89964760284107,2324.0
171,2012,376454,Union Square District,445.1967876448792,2324.0
172,2012,376454,Van Ness/ Civic Center,345.9580403883176,2324.0
173,2012,376454,West Portal,325.7954150643371,2324.0
174,2012,376454,Western Addition,274.3384600486485,2324.0
175,2012,376454,Yerba Buena,491.8140030500954,2324.0
176,2013,378401,Alamo Square,387.7941437968134,2971.0
177,2013,378401,Anza Vista,453.3404982986993,2971.0
178,2013,378401,Bayview,259.54716259308043,2971.0
179,2013,378401,Bernal Heights ,630.8973025513741,2971.0
180,2013,378401,Buena Vista Park,455.2180887853926,2971.0
181,2013,378401,Central Richmond,343.0542609770136,2971.0
182,2013,378401,Central Sunset,330.7364310191893,2971.0
183,2013,378401,Clarendon Heights,453.7716045219721,2971.0
184,2013,378401,Cow Hollow,707.4028088888208,2971.0
185,2013,378401,Croker Amazon,223.11583290346024,2971.0
186,2013,378401,Diamond Heights,533.6884470076521,2971.0
187,2013,378401,Downtown ,361.4546919822122,2971.0
188,2013,378401,Eureka Valley/Dolores Heights,608.694967227678,2971.0
189,2013,378401,Excelsior,289.749665708438,2971.0
190,2013,378401,Financial District North,274.45794363223376,2971.0
191,2013,378401,Glen Park,458.7213317825408,2971.0
192,2013,378401,Golden Gate Heights,956.1841219171134,2971.0
193,2013,378401,Haight Ashbury,478.4956365730093,2971.0
194,2013,378401,Hayes Valley,491.5892613631572,2971.0
195,2013,378401,Inner Mission,377.5180155755184,2971.0
196,2013,378401,Inner Richmond,302.9673770284064,2971.0
197,2013,378401,Inner Sunset,435.5456667813491,2971.0
198,2013,378401,Jordan Park/Laurel Heights,584.0737147409254,2971.0
199,2013,378401,Lake --The Presidio,568.6511487607912,2971.0
200,2013,378401,Lone Mountain,376.08359802951554,2971.0
201,2013,378401,Lower Pacific Heights,548.0466890413603,2971.0
202,2013,378401,Marina,655.1980415945777,2971.0
203,2013,378401,Midtown Terrace,703.0815676877947,2971.0
204,2013,378401,Mission Bay,,2971.0
205,2013,378401,Mission Dolores,427.1662661417756,2971.0
206,2013,378401,Mission Terrace,591.4020223180053,2971.0
207,2013,378401,Nob Hill,466.0264878531046,2971.0
208,2013,378401,Noe Valley,615.0639297056517,2971.0
209,2013,378401,North Beach,393.7173353455039,2971.0
210,2013,378401,North Waterfront,483.16880334240136,2971.0
211,2013,378401,Outer Parkside,372.2419861691197,2971.0
212,2013,378401,Outer Richmond ,332.40781536886453,2971.0
213,2013,378401,Outer Sunset,322.0822144332409,2971.0
214,2013,378401,Pacific Heights,503.8992613300536,2971.0
215,2013,378401,Park North,512.6307219919141,2971.0
216,2013,378401,Parkside,364.6246530241702,2971.0
217,2013,378401,Parnassus/Ashbury Heights,425.6422553308095,2971.0
218,2013,378401,Portola,235.99759251727423,2971.0
219,2013,378401,Potrero Hill,598.704795328917,2971.0
220,2013,378401,Presidio Heights,512.8402484358224,2971.0
221,2013,378401,Russian Hill,506.22752218971993,2971.0
222,2013,378401,South of Market,420.822184596571,2971.0
223,2013,378401,Sunnyside,505.83481143735054,2971.0
224,2013,378401,Telegraph Hill,653.3116166908643,2971.0
225,2013,378401,Twin Peaks,414.43569251368126,2971.0
226,2013,378401,Union Square District,1290.472106646641,2971.0
227,2013,378401,Van Ness/ Civic Center,285.0095060630079,2971.0
228,2013,378401,Visitacion Valley,293.2983722057751,2971.0
229,2013,378401,West Portal,588.0747967826295,2971.0
230,2013,378401,Western Addition,217.08906895403533,2971.0
231,2013,378401,Westwood Highlands,747.3335378171587,2971.0
232,2013,378401,Yerba Buena,753.0114133184367,2971.0
233,2014,380348,Alamo Square,484.4435521706776,3528.0
234,2014,380348,Anza Vista,620.4414065565543,3528.0
235,2014,380348,Bayview,254.9586616327385,3528.0
236,2014,380348,Bernal Heights ,544.5469286452765,3528.0
237,2014,380348,Central Richmond,423.95272693478194,3528.0
238,2014,380348,Central Sunset,456.2419957897522,3528.0
239,2014,380348,Corona Heights,888.1821435177138,3528.0
240,2014,380348,Cow Hollow,691.8654114838455,3528.0
241,2014,380348,Downtown ,428.7265326799175,3528.0
242,2014,380348,Duboce Triangle,630.3115352378672,3528.0
243,2014,380348,Eureka Valley/Dolores Heights,728.9797158498742,3528.0
244,2014,380348,Excelsior,358.3052387223773,3528.0
245,2014,380348,Financial District North,409.9438351783924,3528.0
246,2014,380348,Financial District South,694.4181461347432,3528.0
247,2014,380348,Glen Park,553.5627522522698,3528.0
248,2014,380348,Golden Gate Heights,567.3400104586142,3528.0
249,2014,380348,Haight Ashbury,496.5510012122899,3528.0
250,2014,380348,Hayes Valley,428.9237926791115,3528.0
251,2014,380348,Ingleside ,647.6496334575522,3528.0
252,2014,380348,Inner Mission,464.17584368800914,3528.0
253,2014,380348,Inner Parkside,597.200528047448,3528.0
254,2014,380348,Inner Richmond,430.9396363161629,3528.0
255,2014,380348,Inner Sunset,470.8535298670645,3528.0
256,2014,380348,Jordan Park/Laurel Heights,426.7863811847511,3528.0
257,2014,380348,Lake --The Presidio,432.9627229749632,3528.0
258,2014,380348,Lone Mountain,317.22191943039513,3528.0
259,2014,380348,Lower Pacific Heights,716.3765095625199,3528.0
260,2014,380348,Marina,642.838478220973,3528.0
261,2014,380348,Merced Heights,528.7265413888829,3528.0
262,2014,380348,Miraloma Park,1267.7662026328828,3528.0
263,2014,380348,Mission Bay,220.11108719171108,3528.0
264,2014,380348,Mission Dolores,642.2195925518146,3528.0
265,2014,380348,Mission Terrace,300.1873092016618,3528.0
266,2014,380348,Nob Hill,478.4433517526852,3528.0
267,2014,380348,Noe Valley,654.801499892284,3528.0
268,2014,380348,North Waterfront,379.92536172660726,3528.0
269,2014,380348,Outer Parkside,650.963515967709,3528.0
270,2014,380348,Outer Richmond ,401.9350222176535,3528.0
271,2014,380348,Outer Sunset,490.3635828672637,3528.0
272,2014,380348,Pacific Heights,824.6586936349588,3528.0
273,2014,380348,Park North,371.9242451684327,3528.0
274,2014,380348,Parkside,446.2392452904569,3528.0
275,2014,380348,Parnassus/Ashbury Heights,773.4061347806704,3528.0
276,2014,380348,Portola,538.2046985772841,3528.0
277,2014,380348,Potrero Hill,1045.2015459222662,3528.0
278,2014,380348,Presidio Heights,603.4509968798565,3528.0
279,2014,380348,Russian Hill,714.2220737504065,3528.0
280,2014,380348,Silver Terrace,170.2925485152069,3528.0
281,2014,380348,South Beach,524.6293121403909,3528.0
282,2014,380348,South of Market,1119.8388773148029,3528.0
283,2014,380348,Sunnyside,493.45560489574007,3528.0
284,2014,380348,Telegraph Hill,708.1930316849231,3528.0
285,2014,380348,Twin Peaks,562.9112337982453,3528.0
286,2014,380348,Union Square District,558.2711194060469,3528.0
287,2014,380348,Van Ness/ Civic Center,475.3931868125068,3528.0
288,2014,380348,Visitacion Valley,282.025468300165,3528.0
289,2014,380348,West Portal,687.7829633004551,3528.0
290,2014,380348,Western Addition,429.4883174233179,3528.0
291,2014,380348,Westwood Park,742.9797231632552,3528.0
292,2014,380348,Yerba Buena,479.9237488133093,3528.0
293,2015,382295,Alamo Square,602.1158769435003,3739.0
294,2015,382295,Anza Vista,465.6862745098039,3739.0
295,2015,382295,Bayview Heights,590.7928388746803,3739.0
296,2015,382295,Bernal Heights ,458.00429934010754,3739.0
297,2015,382295,Buena Vista Park,551.6956218496264,3739.0
298,2015,382295,Central Richmond,473.1638149617127,3739.0
299,2015,382295,Central Sunset,453.37937707089696,3739.0
300,2015,382295,Corona Heights,1100.7911936704506,3739.0
301,2015,382295,Cow Hollow,598.6205414959002,3739.0
302,2015,382295,Croker Amazon,301.61864706270705,3739.0
303,2015,382295,Downtown ,485.8868855757771,3739.0
304,2015,382295,Duboce Triangle,631.64568632801,3739.0
305,2015,382295,Eureka Valley/Dolores Heights,790.1803690820187,3739.0
306,2015,382295,Excelsior,414.35585647200105,3739.0
307,2015,382295,Financial District North,694.358566653677,3739.0
308,2015,382295,Financial District South,453.4330812935196,3739.0
309,2015,382295,Glen Park,612.1061563311456,3739.0
310,2015,382295,Golden Gate Heights,772.7128362001237,3739.0
311,2015,382295,Haight Ashbury,574.2740565313097,3739.0
312,2015,382295,Hayes Valley,536.557101875324,3739.0
313,2015,382295,Hunters Point,,3739.0
314,2015,382295,Ingleside ,192.16524813774404,3739.0
315,2015,382295,Inner Mission,435.9007753824155,3739.0
316,2015,382295,Inner Parkside,762.5272331154684,3739.0
317,2015,382295,Inner Richmond,493.6155576333694,3739.0
318,2015,382295,Inner Sunset,639.1464438694404,3739.0
319,2015,382295,Jordan Park/Laurel Heights,576.4579094375945,3739.0
320,2015,382295,Lake --The Presidio,426.6849522707296,3739.0
321,2015,382295,Lone Mountain,918.2882682038704,3739.0
322,2015,382295,Lower Pacific Heights,800.0388650775141,3739.0
